studytime,score
42.47,52.24
77.04,87.95
63.92,75.86
55.92,54.59
29.36,35.98
29.36,39.44
23.49,39.7
71.97,81.06
56.07,61.82
62.48,70.72
21.24,33.85
78.19,92.99
69.95,78.76
32.74,44.09
30.91,39.58
31.0,44.92
38.25,42.87
51.49,59.67
45.92,53.16
37.47,37.44
56.71,69.16
28.37,37.77
37.53,46.31
41.98,49.77
47.36,48.61
67.11,76.3
31.98,38.12
50.85,56.13
55.54,65.13
22.79,32.49
56.45,78.42
30.23,39.3
23.9,32.84
76.93,89.18
77.94,79.22
68.5,80.2
38.28,47.47
25.86,48.23
61.05,71.01
46.41,57.86
27.32,34.85
49.71,52.67
22.06,36.13
74.56,91.53
35.53,48.83
59.75,65.27
38.7,55.99
51.2,52.91
52.8,66.6
31.09,52.34
78.18,85.05
66.51,74.76
76.37,89.6
73.69,83.04
55.87,57.16
75.31,88.26
25.31,26.47
31.76,42.78
22.71,24.47
39.52,57.77
43.32,47.95
36.28,42.98
69.72,86.58
41.41,43.16
36.86,46.91
52.56,70.66
28.46,26.66
68.13,81.05
24.47,33.48
79.21,96.83
66.33,70.55
31.92,32.19
20.33,30.5
68.93,82.6
62.41,75.16
63.74,77.19
66.28,73.82
24.44,33.28
41.51,52.42
26.95,30.36
71.79,95.16
57.4,70.98
39.85,41.69
23.81,35.13
38.66,41.68
39.51,53.18
63.78,82.11
58.25,64.15
73.23,91.34
48.33,60.64
27.18,39.83
62.79,85.45
65.65,75.74
53.68,59.52
66.26,72.55
49.63,54.7
51.36,61.04
45.65,57.26
21.53,30.34
26.47,39.08
